,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prec,226,189,130,32,11,25,23,66,51,25,61,164
tmean,24.85175,24.66125,24.31925,23.44125,21.3715,19.3815,19.203249,20.89825,23.88425,26.49725,26.97925,25.60675
